,post
4267,rt mohammeds own words  treat women well for they are like domestic animals and they possess nothing themselves tabari
5247,all the more 4 them to block this they are bought they are criminal they are corrupt they are anti trump and we need to get rid of them
1991,if a nonwhite wants a white person to be fired or exiled etcall they need to do is claim the white p
1930, we need more   racist people   like you  haha tired of the left trying to use the race cad  obama created this divide  
5565,whos warning them state or fed invasion of innocents shuttled in need to shuttle out
621,if he were white  the media would be demanding every white person in americapay the first black person they see 100 dollars
1128,they realized that it is easier to coexist with the white super race and live off their wealth   
1797,fight white genocide  whitegenocide jewishsupremacy
3968,the racist idiots at black lives matter have come up with a grand scheme to demonize white people  and their favorite target is potus trump  i stand by our president and against these far left racist hateful demon losers  hey come at me 
2667,muslim refugees  thats what happened  dirty pigs 
4854,gmafb get rid of all the camel sucking mozrats
3882,gaymilo is embraced by one prosemite editor at tac mag  the old dude muted me b  c he perceived my comments 1488  antisemitic
3963,the genocide of white america  19802010 via
4795,good job next time also bring a wooden soap box for speakers to stand on this is trad very ameri
4650,they dont look human they look like a bunch of ugly monkeys sorry monkeys r better looking 
4504,let them test my wall will only test it onceelectrify the wall with extremely high voltage
5395,disgrace unacceptable  deportmuslims is the only way our children can live free of terror and rape ever again
1336,white protestants are 4  nycmetro  that is proof immigration displaces 
6317,the organizational and social strategy of dune coon movements like Hezbollah and the Muslim Brotherhood are light years beyond the machinations of the white master race in virtual space even if we adjust for contextual differences
2120, most people were ok with rebel battle flag  confederate
3712,he should say that  hes an antiwhite groid 
1757, my updated feeling is sadness  how have we failed our european sisters  this culture is so toxic th
1056,i more and more think is right  black and white cant live together  we should just find some way peacefully to separate 
5762,Mexico isnt sending their best
3271,from what im reading here in the us  its racial hate from blacks on white  and especially the farmer 
3743,muslims in india are the same  teach kids to hate and kill all infidels
2999, texas  fighting foragainst the islamofascist dictatorship of   no border   
2677,no pakistani should ever try to come to india  they can go to mosul or karbala hq of pigs
3525,new fuhrer is so learned  
